Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0005576~extracellular region	28	43.75	4.499891403396942E-13	PIGR, CEMIP, WNT2B, CFH, SERPINC1, PLG, KNG1, CCL5, APOH, C9, ADAMTS17, SFN, GC, GDF10, AMBP, APOA2, GP2, APOA1, VWDE, DCN, COL3A1, CRISPLD1, TMEM98, ALB, ANGPTL3, TLL2, COL9A2, KLKB1	63	1851	20815	4.997899033555435	5.98464611201166E-11	5.984855566517934E-11	5.579865340212208E-11
GOTERM_CC_DIRECT	GO:0005615~extracellular space	27	42.1875	1.3255640239393693E-11	PIGR, WNT2B, CFH, SERPINC1, TMPRSS6, PLG, EPX, KNG1, CCL5, APOH, C9, GC, GDF10, AMBP, ARG1, APOA2, GP2, APOA1, KMO, DCN, COL3A1, CRISPLD1, TMEM98, ALB, ANGPTL3, COL9A2, KLKB1	63	1962	20815	4.546745303626037	1.762997303700331E-9	8.815000759196806E-10	8.21849694842409E-10
GOTERM_BP_DIRECT	GO:0007596~blood coagulation	6	9.375	4.583980127699149E-6	SERPINC1, C9, APOH, PLG, KLKB1, KNG1	62	79	19672	24.09799918334014	0.0032584809217924837	0.003263793850921794	0.0031904501688786073
UP_KW_PTM	KW-1015~Disulfide bond	31	48.4375	1.0830539482543786E-5	PIGR, WNT2B, CFH, SERPINC1, TMPRSS6, FLT4, MTTP, PLG, EPX, KNG1, MYBPHL, CCL5, APOH, C9, ADAMTS17, GC, GDF10, GPR17, AMBP, FZD6, GP2, VWDE, DCN, COL3A1, CDCP1, CRISPLD1, ALB, ANGPTL3, TLL2, COL9A2, KLKB1	58	3266	12787	2.0925998268471395	1.7327455636251266E-4	1.8411917120324437E-4	1.624580922381568E-4
GOTERM_BP_DIRECT	GO:0042632~cholesterol homeostasis	6	9.375	1.3873749484987133E-5	G6PC, MTTP, ANGPTL3, APOA2, APOA1, ABCB11	62	99	19672	19.229716520039098	0.009829549208857369	0.0049390548166554195	0.004828064820775522
KEGG_PATHWAY	mmu03320:PPAR signaling pathway	6	9.375	6.23518411172187E-5	UCP1, APOA2, APOA1, HMGCS2, PCK1, SLC27A2	44	89	8941	13.699182839632275	0.007454530338164678	0.003358819009893844	0.003274848534646498
GOTERM_MF_DIRECT	GO:0005319~lipid transporter activity	4	6.25	7.374044158725653E-5	ATP8B1, MTTP, APOA2, APOA1	59	26	18371	47.90352020860495	0.01638278618297695	0.016517858915545462	0.01614915670760918
KEGG_PATHWAY	mmu04610:Complement and coagulation cascades	6	9.375	7.697028739719459E-5	CFH, SERPINC1, C9, PLG, KLKB1, KNG1	44	93	8941	13.109970674486803	0.009194261868700648	0.003358819009893844	0.003274848534646498
KEGG_PATHWAY	mmu04979:Cholesterol metabolism	5	7.8125	8.39704752473461E-5	APOH, ANGPTL3, APOA2, APOA1, ABCB11	44	49	8941	20.735157699443413	0.010026278470909755	0.003358819009893844	0.003274848534646498
GOTERM_BP_DIRECT	GO:0010043~response to zinc ion	4	6.25	1.5852059398845154E-4	CPS1, ARG1, ALDOB, OTC	62	34	19672	37.32827324478178	0.10673823370470503	0.031051301845036284	0.030353519781102883
GOTERM_BP_DIRECT	GO:0006641~triglyceride metabolic process	4	6.25	2.5828714394697424E-4	G6PC, APOH, MTTP, ANGPTL3	62	40	19672	31.729032258064517	0.16800113316667042	0.031051301845036284	0.030353519781102883
UP_KW_PTM	KW-0325~Glycoprotein	32	50.0	2.5916738112055735E-4	PIGR, CEMIP, WNT2B, CFH, SERPINC1, TMPRSS6, FLT4, ABCB11, EPX, KNG1, APOH, C9, ADAMTS17, GC, GDF10, GPR17, G6PC, ABCC2, UGT1A1, AMBP, FZD6, KRT8, GP2, APOA1, DCN, COL3A1, CDCP1, CPS1, ANGPTL3, TLL2, COL9A2, KLKB1	58	4014	12787	1.7575726337130388	0.0041386277102538616	0.0022029227395247374	0.0019437553584041802
GOTERM_BP_DIRECT	GO:0071377~cellular response to glucagon stimulus	3	4.6875	2.6166827397502485E-4	CPS1, ARG1, PCK1	62	8	19672	118.98387096774194	0.1700021684164903	0.031051301845036284	0.030353519781102883
GOTERM_BP_DIRECT	GO:0006855~drug transmembrane transport	3	4.6875	2.6166827397502485E-4	ABCC2, ATP8B1, ABCB11	62	8	19672	118.98387096774194	0.1700021684164903	0.031051301845036284	0.030353519781102883
GOTERM_BP_DIRECT	GO:0007599~hemostasis	4	6.25	3.9162751161373686E-4	SERPINC1, PLG, KLKB1, KNG1	62	46	19672	27.59046283309958	0.24337944760165597	0.03727857846615194	0.03644085760174403
GOTERM_BP_DIRECT	GO:0000050~urea cycle	3	4.6875	4.188604322039544E-4	CPS1, ARG1, OTC	62	10	19672	95.18709677419355	0.2579147151445502	0.03727857846615194	0.03644085760174403
GOTERM_BP_DIRECT	GO:0008203~cholesterol metabolic process	5	7.8125	4.7751386912149216E-4	MTTP, ANGPTL3, APOA2, APOA1, HMGCS2	62	117	19672	13.559415494899365	0.28828026494627823	0.037776652757166934	0.036927739212062057
GOTERM_MF_DIRECT	GO:0005543~phospholipid binding	5	7.8125	5.251177210205363E-4	CPS1, APOH, APOA2, APOA1, OTC	59	118	18371	13.19376615914967	0.11099930720374573	0.05881318475430007	0.05750039045174873
