Category	Term	Count	PValue	Direction	Organ
GOTERM_MF_DIRECT	GO:0003779~actin binding	11	5.48E-05	Up	Hippocampus
GOTERM_BP_DIRECT	GO:0050873~brown fat cell differentiation	4	0.001240002	Up	Hippocampus
GOTERM_BP_DIRECT	GO:0031638~zymogen activation	4	0.002131872	Up	Hippocampus
GOTERM_BP_DIRECT	GO:0032869~cellular response to insulin stimulus	5	0.003490861	Up	Hippocampus
UP_KW_PTM	KW-0597~Phosphoprotein	70	0.003724272	Up	Hippocampus
GOTERM_BP_DIRECT	GO:0030036~actin cytoskeleton organization	6	0.004462526	Up	Hippocampus
GOTERM_BP_DIRECT	GO:0008542~visual learning	4	0.007666669	Up	Hippocampus
GOTERM_MF_DIRECT	GO:0008289~lipid binding	7	0.008979684	Up	Hippocampus
GOTERM_BP_DIRECT	GO:0042593~glucose homeostasis	5	0.011624723	Up	Hippocampus
GOTERM_BP_DIRECT	GO:0045944~positive regulation of transcription from RNA polymerase II promoter	14	0.014424537	Up	Hippocampus
GOTERM_MF_DIRECT	GO:0046872~metal ion binding	30	0.014578296	Up	Hippocampus
GOTERM_BP_DIRECT	GO:0007411~axon guidance	5	0.019121738	Up	Hippocampus
GOTERM_BP_DIRECT	GO:0045214~sarcomere organization	3	0.021907174	Up	Hippocampus
GOTERM_BP_DIRECT	GO:0002027~regulation of heart rate	3	0.021907174	Up	Hippocampus
GOTERM_BP_DIRECT	GO:0007613~memory	4	0.025461488	Up	Hippocampus
GOTERM_BP_DIRECT	"GO:2000095~regulation of Wnt signaling pathway, planar cell polarity pathway"	2	0.026904476	Up	Hippocampus
GOTERM_BP_DIRECT	GO:0060173~limb development	3	0.028103946	Up	Hippocampus
KEGG_PATHWAY	mmu04979:Cholesterol metabolism	3	0.030858171	Up	Hippocampus
GOTERM_BP_DIRECT	GO:0048706~embryonic skeletal system development	3	0.031435096	Up	Hippocampus
KEGG_PATHWAY	mmu00510:N-Glycan biosynthesis	3	0.032030117	Up	Hippocampus
GOTERM_BP_DIRECT	GO:0006777~Mo-molybdopterin cofactor biosynthetic process	2	0.032198686	Up	Hippocampus
GOTERM_BP_DIRECT	GO:2000051~negative regulation of non-canonical Wnt signaling pathway	2	0.032198686	Up	Hippocampus
GOTERM_BP_DIRECT	GO:0008211~glucocorticoid metabolic process	2	0.032198686	Up	Hippocampus
GOTERM_MF_DIRECT	GO:0036041~long-chain fatty acid binding	2	0.032541064	Up	Hippocampus
GOTERM_BP_DIRECT	GO:0031100~animal organ regeneration	3	0.033738161	Up	Hippocampus
GOTERM_MF_DIRECT	GO:0030374~ligand-dependent nuclear receptor transcription coactivator activity	3	0.034390261	Up	Hippocampus
GOTERM_MF_DIRECT	GO:0051015~actin filament binding	5	0.036128051	Up	Hippocampus
GOTERM_MF_DIRECT	GO:0005244~voltage-gated ion channel activity	4	0.041312084	Up	Hippocampus
GOTERM_BP_DIRECT	GO:0014823~response to activity	3	0.042291482	Up	Hippocampus
KEGG_PATHWAY	mmu04122:Sulfur relay system	2	0.044158182	Up	Hippocampus
GOTERM_BP_DIRECT	GO:0034765~regulation of ion transmembrane transport	4	0.044708778	Up	Hippocampus
GOTERM_BP_DIRECT	GO:0006811~ion transport	8	0.044744191	Up	Hippocampus
KEGG_PATHWAY	mmu04020:Calcium signaling pathway	5	0.045459799	Up	Hippocampus
GOTERM_BP_DIRECT	GO:0042542~response to hydrogen peroxide	3	0.046179819	Up	Hippocampus
KEGG_PATHWAY	mmu04141:Protein processing in endoplasmic reticulum	-11	1.32E-08	Down	Hippocampus
UP_KW_PTM	KW-0007~Acetylation	-36	1.39E-04	Down	Hippocampus
GOTERM_MF_DIRECT	GO:0015037~peptide disulfide oxidoreductase activity	-3	6.81E-04	Down	Hippocampus
KEGG_PATHWAY	mmu05132:Salmonella infection	-7	0.00183366	Down	Hippocampus
KEGG_PATHWAY	mmu05142:Chagas disease	-5	0.001928758	Down	Hippocampus
GOTERM_BP_DIRECT	GO:0006457~protein folding	-5	0.002011947	Down	Hippocampus
GOTERM_MF_DIRECT	GO:0051087~chaperone binding	-5	0.002666039	Down	Hippocampus
GOTERM_MF_DIRECT	GO:0005515~protein binding	-40	0.004648809	Down	Hippocampus
KEGG_PATHWAY	mmu05417:Lipid and atherosclerosis	-6	0.004990335	Down	Hippocampus
UP_KW_PTM	KW-1017~Isopeptide bond	-19	0.005184097	Down	Hippocampus
GOTERM_BP_DIRECT	GO:0030512~negative regulation of transforming growth factor beta receptor signaling pathway	-4	0.005631969	Down	Hippocampus
KEGG_PATHWAY	mmu04918:Thyroid hormone synthesis	-4	0.006550196	Down	Hippocampus
KEGG_PATHWAY	mmu05418:Fluid shear stress and atherosclerosis	-5	0.007066033	Down	Hippocampus
GOTERM_BP_DIRECT	GO:0030433~ubiquitin-dependent ERAD pathway	-4	0.007510416	Down	Hippocampus
GOTERM_MF_DIRECT	GO:0031072~heat shock protein binding	-4	0.007561582	Down	Hippocampus
GOTERM_MF_DIRECT	GO:0015035~protein disulfide oxidoreductase activity	-3	0.008026584	Down	Hippocampus
GOTERM_BP_DIRECT	GO:0006397~mRNA processing	-7	0.008058629	Down	Hippocampus
GOTERM_BP_DIRECT	GO:0006915~apoptotic process	-9	0.008236075	Down	Hippocampus
UP_KW_PTM	KW-0597~Phosphoprotein	-60	0.008752158	Down	Hippocampus
GOTERM_MF_DIRECT	GO:0051082~unfolded protein binding	-4	0.01074935	Down	Hippocampus
GOTERM_BP_DIRECT	GO:0008380~RNA splicing	-6	0.011025311	Down	Hippocampus
GOTERM_BP_DIRECT	GO:0010976~positive regulation of neuron projection development	-5	0.011476681	Down	Hippocampus
KEGG_PATHWAY	mmu05200:Pathways in cancer	-8	0.020798937	Down	Hippocampus
KEGG_PATHWAY	mmu04071:Sphingolipid signaling pathway	-4	0.026188051	Down	Hippocampus
GOTERM_BP_DIRECT	GO:0006487~protein N-linked glycosylation	-3	0.027196892	Down	Hippocampus
GOTERM_BP_DIRECT	GO:0042149~cellular response to glucose starvation	-3	0.028174134	Down	Hippocampus
GOTERM_BP_DIRECT	GO:0030968~endoplasmic reticulum unfolded protein response	-3	0.028174134	Down	Hippocampus
