Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	mmu04141:Protein processing in endoplasmic reticulum	11	10.784313725490197	1.3175150199143806E-8	MAPK10, HSPA5, DAD1, CAPN2, STT3B, CALR, SEC62, PDIA6, PDIA4, NFE2L2, HSP90B1	48	172	9063	12.075218023255815	2.6613768150385297E-6	2.6613803402270488E-6	2.648205190027905E-6
UP_KW_PTM	KW-0007~Acetylation	36	35.294117647058826	1.3908455128767657E-4	SET, UXS1, SLC2A1, HMGB1, HSP90B1, CNN2, STIP1, UGP2, CSRP1, MTHFD1L, ARHGDIB, EMC2, CAPN2, HSPA5, ST13, GSTO1, TMEM50B, LARP7, EIF2S2, ACSF2, PDIA4, AIMP1, GLUD1, TPPP3, SFPQ, DAD1, SYF2, IRF2, ESF1, PTPN9, STT3B, CALR, FKBP4, NSRP1, NFE2L2, METAP2	81	3152	12787	1.8030174844895654	0.0020842383191891356	0.002225352820602825	0.002225352820602825
GOTERM_MF_DIRECT	GO:0015037~peptide disulfide oxidoreductase activity	3	2.941176470588235	6.811266063486807E-4	TXNDC12, PDIA6, PDIA4	93	8	18371	74.07661290322581	0.15777020556837362	0.17164390479986752	0.17164390479986752
KEGG_PATHWAY	mmu05132:Salmonella infection	7	6.862745098039216	0.0018336596493229045	NFKBIA, MAPK10, DYNC1LI1, TUBB6, AHNAK, SNX33, HSP90B1	48	253	9063	5.224061264822135	0.30977611150750173	0.12986972454947973	0.12922680512101697
KEGG_PATHWAY	mmu05142:Chagas disease	5	4.901960784313726	0.001928758285388313	NFKBIA, MAPK10, PLCB4, PPP2R2B, CALR	48	103	9063	9.165655339805825	0.32293323257155804	0.12986972454947973	0.12922680512101697
GOTERM_BP_DIRECT	GO:0006457~protein folding	5	4.901960784313726	0.0020119469832545565	AHSA2, PPIG, CALR, PDIA4, HSP90B1	98	108	19672	9.293272864701438	0.7562946927697074	1.0	1.0
GOTERM_MF_DIRECT	GO:0051087~chaperone binding	5	4.901960784313726	0.0026660390876455595	SCARB2, STIP1, ST13, PDPN, AHSA2	93	115	18371	8.588592800374006	0.4896910862288819	0.3359209250433405	0.3359209250433405
GOTERM_MF_DIRECT	GO:0005515~protein binding	40	39.21568627450981	0.00464880866832584	SCARB2, AHNAK, SLC2A1, HMGB1, COCH, HSP90B1, CCAR1, STIP1, RGS2, ALCAM, CSRP1, PDPN, RGS6, GADD45B, HSPA5, CAV2, TSC22D3, CIDEA, PPP2R5D, TDRD7, EIF2S2, KCNAB3, DUSP6, MAPK10, NFKBIA, GLUD1, SFPQ, PLCB4, RCN2, GJB6, CDHR1, CDK2AP2, TXNIP, PTPN9, SCG3, CALR, FKBP4, KCNK2, NFE2L2, METAP2	93	5363	18371	1.4733368219921845	0.6909435375456885	0.39049992813937057	0.39049992813937057
KEGG_PATHWAY	mmu05417:Lipid and atherosclerosis	6	5.88235294117647	0.004990335207534756	NFKBIA, MAPK10, PLCB4, HSPA5, NFE2L2, HSP90B1	48	216	9063	5.244791666666666	0.6359890608963247	0.2378897740964722	0.23671210194747977
UP_KW_PTM	KW-1017~Isopeptide bond	19	18.627450980392158	0.005184096783474923	SET, HSPA5, LARP7, HMGB1, EIF2S2, CCAR1, NFKBIA, STIP1, TUBB6, SFPQ, CFDP1, CSRP1, SYF2, GRM8, IRF2, TXNIP, PPIG, NSRP1, FKBP4	81	1518	12787	1.97590234063664	0.07500200822598546	0.041472774267799384	0.041472774267799384
GOTERM_BP_DIRECT	GO:0030512~negative regulation of transforming growth factor beta receptor signaling pathway	4	3.9215686274509802	0.0056319691541957305	HSPA5, CAV2, SNX25, CIDEA	98	73	19672	10.999161308358959	0.980921053568376	1.0	1.0
KEGG_PATHWAY	mmu04918:Thyroid hormone synthesis	4	3.9215686274509802	0.006550196162898605	PLCB4, HSPA5, PDIA4, HSP90B1	48	74	9063	10.20608108108108	0.734858611438627	0.2378897740964722	0.23671210194747977
KEGG_PATHWAY	mmu05418:Fluid shear stress and atherosclerosis	5	4.901960784313726	0.00706603289395462	MAPK10, CAV2, GSTO1, NFE2L2, HSP90B1	48	148	9063	6.378800675675676	0.7612660046864097	0.2378897740964722	0.23671210194747977
GOTERM_BP_DIRECT	GO:0030433~ubiquitin-dependent ERAD pathway	4	3.9215686274509802	0.0075104162079930575	HSPA5, STT3B, CALR, HSP90B1	98	81	19672	9.912824389014864	0.9949313042268414	1.0	1.0
GOTERM_MF_DIRECT	GO:0031072~heat shock protein binding	4	3.9215686274509802	0.007561581805123275	NFKBIA, HSPA5, ST13, FKBP4	93	80	18371	9.87688172043011	0.8523276790029584	0.4045398387424779	0.4045398387424779
GOTERM_MF_DIRECT	GO:0015035~protein disulfide oxidoreductase activity	3	2.941176470588235	0.008026584102033291	TXNDC12, PDIA6, PDIA4	93	27	18371	21.94862604540024	0.868777454648876	0.4045398387424779	0.4045398387424779
GOTERM_BP_DIRECT	GO:0006397~mRNA processing	7	6.862745098039216	0.008058629093826496	SFPQ, SYF2, FRG1, LARP7, SREK1IP1, NSRP1, GRSF1	98	353	19672	3.9805746661270742	0.9965589685843913	1.0	1.0
GOTERM_BP_DIRECT	GO:0006915~apoptotic process	9	8.823529411764707	0.008236075251428616	AIMP1, GADD45B, PPP2R2B, DAD1, GJB6, DDIT4, CIDEA, CHAC1, CCAR1	98	584	19672	3.0935141179759578	0.9969645498659528	1.0	1.0
UP_KW_PTM	KW-0597~Phosphoprotein	60	58.82352941176471	0.008752157957466596	UXS1, SLC2A1, HMGB1, CCAR1, RGS2, TUBB6, CSRP1, ARHGDIB, SEC62, GSTO1, TSC22D3, PDIA6, LENG1, DYNC1LI1, SFPQ, CFDP1, RCN2, IRF2, DDIT4, TXNIP, SCG3, PPIG, FKBP4, NSRP1, SET, TTYH2, SNX33, HSP90B1, CNN2, STIP1, UGP2, MTHFD1L, SNX25, ZC3H15, HSPA5, ST13, CAV2, PCP4L1, SLC33A1, LARP7, SREK1IP1, TDRD7, EIF2S2, MANF, AIMP1, MAPK10, NFKBIA, GLUD1, PPP2R2B, CDK2AP2, NMT1, ESF1, ESAM, ANP32B, STT3B, GRSF1, KCNK2, PHF19, NFE2L2, METAP2	81	7729	12787	1.2254951289755274	0.1235365238748487	0.046678175773155174	0.046678175773155174
GOTERM_MF_DIRECT	GO:0051082~unfolded protein binding	4	3.9215686274509802	0.01074935020711305	HSPA5, ST13, CALR, HSP90B1	93	91	18371	8.682972941037459	0.9343554402675375	0.4514727086987481	0.4514727086987481
