Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0005515~protein binding	90	33.210332103321036	0.001355465552829455	INVS, TRIM72, SYCP2, ITGB4, FAF1, FAF2, ZDHHC6, SCX, PIK3CG, HOXA11, MED17, COIL, EPS8, TIAL1, SMPD3, MED11, HHEX, LASP1, EDNRB, YWHAQ, CASP3, IGFLR1, AP1S1, SKP2, CIC, ARL6IP6, MRPS27, TRPC3, EXOC7, BSX, EBF1, AP1B1, LIG3, CSNK1D, SLC51A, OLIG2, KRT5, KCNAB2, MASTL, TNFRSF1A, MED28, UHMK1, ERN1, ALS2, BTK, PSME1, PPARG, ADAM8, MICU1, FKBP3, ANAPC1, CFTR, HOMEZ, BEX2, LEPROT, USP16, USP53, TSHZ3, GPS1, LY96, WDR61, NOL3, THSD4, ZFP36L1, GHRHR, FXR2, PRRG2, PLCG2, ABL2, SAP18, OTX1, EXOSC1, CCR10, CCT4, TIA1, CADM3, TAF12, IGF1, SHCBP1, MAPK15, CLK1, MLXIPL, SNW1, NPHS1, DLG4, TNFSF4, BCL6B, NOSTRIN, ANKS4B, B9D1	232	5363	18371	1.328860905180451	0.46995225561347476	0.634357878724185	0.634357878724185
GOTERM_BP_DIRECT	GO:0007204~positive regulation of cytosolic calcium ion concentration	9	3.3210332103321036	0.0015345186077438413	EDNRB, DLG4, GALR1, CXCR5, PLCG2, ABL2, PLA2G6, CCR10, PIK3CG	240	178	19672	4.14438202247191	0.9197934806450623	1.0	1.0
GOTERM_BP_DIRECT	GO:0071333~cellular response to glucose stimulus	6	2.214022140221402	0.0037838988705392687	ERN1, MLXIPL, GHRHR, VCAM1, TH, IGF1	240	85	19672	5.785882352941177	0.9980280605874233	1.0	1.0
GOTERM_MF_DIRECT	GO:0008233~peptidase activity	15	5.535055350553505	0.005602219875036692	NAPSA, ZRANB1, METAP1D, USP16, GGH, ADAMTS15, UCHL1, PSMB2, CASP3, PMPCB, CPXM1, ADAM8, STAMBP, RHBDL2, KLKB1	232	513	18371	2.315360959870942	0.9278646097044734	1.0	1.0
GOTERM_BP_DIRECT	GO:0002675~positive regulation of acute inflammatory response	3	1.107011070110701	0.006202804872213282	NPY5R, ADAM8, PIK3CG	240	10	19672	24.590000000000003	0.9999636729078999	1.0	1.0
GOTERM_BP_DIRECT	GO:0035264~multicellular organism growth	7	2.5830258302583027	0.006861754091214278	SMPD3, HHEX, ABL2, RBBP6, IGF1, ADD1, ZFP36L1	240	138	19672	4.157729468599034	0.999987783451122	1.0	1.0
GOTERM_MF_DIRECT	GO:0004843~thiol-dependent ubiquitin-specific protease activity	6	2.214022140221402	0.008622294663796274	ZRANB1, UCHL1, USP16, USP53, STAMBP, USP39	232	100	18371	4.751120689655172	0.9826251416505505	1.0	1.0
GOTERM_BP_DIRECT	GO:0048008~platelet-derived growth factor receptor signaling pathway	4	1.4760147601476015	0.010150004149766191	SMPD3, SGPL1, TIPARP, ABL2	240	37	19672	8.86126126126126	0.9999999474587337	1.0	1.0
GOTERM_BP_DIRECT	GO:0043161~proteasome-mediated ubiquitin-dependent protein catabolic process	8	2.952029520295203	0.011349271759533151	RMND5B, TRIM72, GID4, PSMB2, UBXN2A, PSMA2, FAF2, SKP2	240	200	19672	3.2786666666666666	0.9999999928308239	1.0	1.0
GOTERM_BP_DIRECT	GO:0001818~negative regulation of cytokine production	4	1.4760147601476015	0.011728755050023068	TIA1, TNFSF4, BTK, PPARG	240	39	19672	8.406837606837607	0.9999999961846926	1.0	1.0
