target_id	length	eff_length	est_counts	tpm
NM_001280678.1	552	312.308	81	22.4237
NM_001281925.1	634	385.861	123	27.56
NM_001285876.1	834	577.595	141	21.1057
NM_001286187.1	1110	851.621	544.397	55.268
NM_001290408.1	830	573.71	48	7.23358
NM_001291139.1	4671	4412.62	112.5	2.20425
NM_001291140.1	4671	4412.62	112.5	2.20425
NM_001291520.1	4282	4023.62	62.1333	1.33509
NM_001293736.1	2063	1804.62	475.283	22.7704
NM_001301748.1	4136	3877.62	1445.87	32.2379
XM_004600094.1	3370	3111.62	906.401	25.1848
XM_004600095.1	3286	3027.62	2038.6	58.215
XM_004600096.1	1395	1136.62	162.793	12.383
XM_004600097.1	1242	983.621	31.2067	2.74299
XM_004600098.1	4328	4069.62	14.1306	0.300201
XM_004600099.1	4314	4055.62	0	0
XM_004600100.1	4040	3781.62	5.86937	0.134189
XM_004600101.1	1026	767.621	60	6.75785
XM_004600102.1	2487	2228.62	130.261	5.0534
XM_004600103.1	2439	2180.62	772.739	30.6377
XM_004600104.1	2604	2345.62	647	23.8479
XM_004600105.1	1188	929.621	612	56.918
XM_004600106.1	488	256.349	1302	439.121
XM_004600107.1	5374	5115.62	487	8.23067
XM_004600108.1	3753	3494.62	0	0
XM_004600109.1	4293	4034.62	616	13.2003
XM_004600110.1	1550	1291.62	286	19.1441
XM_004600111.1	485	253.788	25	8.51673
XM_004600112.1	1479	1220.62	156	11.0496
XM_004600113.1	4152	3893.62	164	3.64162
XM_004600114.1	3963	3704.62	0	0
XM_004600115.2	5115	4856.62	0	0
XM_004600116.1	858	601.242	506	72.7622
XM_004600117.1	3384	3125.62	93	2.57247
XM_004600118.1	2052	1793.62	31	1.49429
XM_004600119.1	3624	3365.62	306	7.86069
XM_004600120.1	3183	2924.62	0	0
XM_004600122.2	1092	833.621	158	16.3867
XM_004600123.1	4041	3782.62	212	4.8456
XM_004600124.1	1599	1340.62	0	0
XM_004600125.2	4680	4421.62	1302	25.4586
XM_004600126.1	2628	2369.62	22.0429	0.804257
XM_004600127.1	2544	2285.62	246.957	9.34161
XM_004600128.1	1680	1421.62	0	0
XM_004600129.1	2030	1771.62	184	8.97948
XM_004600130.2	9293	9034.62	0.071396	0.000683232
XM_004600131.2	9225	8966.62	383.984	3.70245
XM_004600133.1	3098	2839.62	24	0.730727
XM_004600134.1	1578	1319.62	237	15.5276
XM_004600135.1	1673	1414.62	173	10.5733
XM_004600136.1	737	482.927	120	21.4834
XM_004600137.1	1225	966.621	105	9.39155
XM_004600138.1	3510	3251.62	324	8.61489
XM_004600140.1	4321	4062.62	89.0384	1.89485
XM_004600141.1	4199	3940.62	12.9616	0.28438
XM_004600142.2	2770	2511.62	202	6.95347
XM_004600143.2	2647	2388.62	0	0
XM_004600144.1	357	154.187	0	0
XM_004600145.2	6774	6515.62	2385.71	31.6567
XM_004600146.1	3612	3353.62	75.0276	1.93424
XM_004600147.1	2568	2309.62	1.86032e-07	6.96386e-09
XM_004600148.1	2509	2250.62	93.9724	3.60996
XM_004600149.1	3009	2750.62	224	7.04079
XM_004600150.1	8211	7952.62	4.49627e-07	4.88817e-09
XM_004600151.1	8208	7949.62	194.012	2.11002
XM_004600152.1	8208	7949.62	722.202	7.85447
XM_004600153.1	8199	7940.62	628.495	6.84309
XM_004600154.1	8181	7922.62	588.29	6.41988
XM_004600156.1	1698	1439.62	0	0
XM_004600157.1	2782	2523.62	14.8994	0.510444
XM_004600158.1	2755	2496.62	0	0
XM_004600159.1	8561	8302.62	23.8276	0.248124
XM_004600160.1	2533	2274.62	12.3083	0.467835
XM_004600161.1	2538	2279.62	0	0
XM_004600162.1	8339	8080.62	1601.09	17.1307
XM_004600163.1	822	565.71	0	0
XM_004600164.1	2148	1889.62	0	0
XM_004600165.1	1309	1050.62	269	22.1366
XM_004600166.1	1593	1334.62	380.175	24.6281
XM_004600167.1	999	740.621	686.825	80.1778
XM_004600168.1	5802	5543.62	3	0.0467877
XM_004600170.1	1008	749.621	1025	118.219
XM_004600171.1	5443	5184.62	19	0.316841
XM_004600172.1	1084	825.621	460	48.1705
XM_004600173.1	5727	5468.62	141	2.22918
XM_004600174.1	826	569.71	4697	712.806
XM_004600175.1	825	568.71	58	8.81742
XM_004600176.1	2161	1902.62	134.111	6.0942
XM_004600177.1	2110	1851.62	33.889	1.58238
XM_004600178.2	734	480.024	3	0.540334
XM_004600179.1	1898	1639.62	217	11.4425
XM_004600180.1	420	202.598	18	7.68144
XM_004600181.1	1119	860.621	0	0
XM_004600182.1	3813	3554.62	204.155	4.96559
XM_004600185.1	1803	1544.62	158	8.84381
XM_004600186.1	1888	1629.62	138	7.32145
XM_004600187.2	2134	1875.62	182	8.3894
XM_004600188.1	3860	3601.62	393	9.43407
XM_004600189.1	387	176.141	852.198	418.296
XM_004600190.1	342	143.605	34.8354	20.9728
XM_004600191.1	294	111.792	1.967	1.52124
XM_004600192.1	708	455.479	169	32.0791
XM_004600193.1	756	500.885	403.169	69.591
XM_004600194.2	1567	1308.62	421	27.8146
XM_004600195.1	792	536.153	12	1.93507
XM_004600196.1	1259	1000.62	693	59.8781
XM_004600197.1	873	615.938	0	0
XM_004600198.1	3438	3179.62	181	4.92161
XM_004600199.1	2097	1838.62	0	0
XM_004600200.1	1525	1266.62	715	48.8049
XM_004600201.1	444	220.552	146	57.2331
XM_004600202.1	2165	1906.62	325	14.7375
XM_004600203.1	231	71.6916	824	993.719
XM_004600204.1	1936	1677.62	693	35.7144
XM_004600205.2	621	373.872	3256.58	753.083
XM_004600206.2	867	610.06	1049	148.664
XM_004600207.1	567	325.737	0	0
XM_004600208.1	1164	905.621	25.1953	2.40534
XM_004600209.1	1045	786.621	34.8047	3.8254
XM_004600210.1	393	181.025	10	4.77601
XM_004600211.1	1206	947.621	3358	306.373
XM_004600212.1	1901	1642.62	1361.59	71.6663
XM_004600213.1	1756	1497.62	1697.41	97.9914
XM_004600214.2	3318	3059.62	4303	121.593
XM_004600215.1	3276	3017.62	284	8.13688
XM_004600216.2	1289	1030.62	663.929	55.6964
XM_004600217.2	1216	957.621	0	0
XM_004600218.1	1626	1367.62	293	18.5228
XM_004600219.2	4557	4298.62	5341	107.423
XM_004600220.1	1842	1583.62	1088	59.3994
XM_004600221.2	1158	899.621	22.6557	2.17732
XM_004600222.2	1174	915.621	0	0
XM_004600223.1	1106	847.621	263.919	26.9199
XM_004600224.2	1106	847.621	48.4255	4.93943
XM_004600225.1	8449	8190.62	1357	14.3241
XM_004600226.1	2796	2537.62	1370	46.6765
XM_004600227.2	1180	921.621	865	81.1462
XM_004600228.1	420	202.598	12	5.12096
XM_004600229.1	3434	3175.62	454	12.3604
XM_004600230.2	582	339.055	339	86.4438
XM_004600231.1	942	683.906	0	0
XM_004600232.1	960	701.836	0	0
XM_004600233.1	3023	2764.62	85	2.6582
XM_004600234.2	1938	1679.62	0	0
XM_004600235.1	1207	948.621	2166.57	197.462
XM_004600236.1	1171	912.621	139.93	13.2564
XM_004600237.1	1153	894.621	74.1195	7.16304
XM_004600238.1	1117	858.621	583.38	58.7427
XM_004600239.1	1112	853.621	0	0
XM_004600240.1	961	702.836	0	0
XM_004600241.2	1536	1277.62	34.2209	2.31576
XM_004600242.1	1833	1574.62	1	0.0549071
XM_004600244.1	1048	789.621	1	0.109493
XM_004600245.1	877	619.876	0	0
XM_004600246.1	987	728.621	357	42.3615
XM_004600247.2	2031	1772.62	156	7.60875
XM_004600248.1	1260	1001.62	173	14.933
XM_004600249.1	3003	2744.62	598	18.8375
XM_004600250.2	995	736.621	2.27751	0.267313
XM_004600251.1	2938	2679.62	4441	143.289
XM_004600252.1	2763	2504.62	67	2.3128
XM_004600253.1	2730	2471.62	0	0
XM_004600254.1	1146	887.621	291	28.3446
XM_004600255.1	2426	2167.62	841	33.5442
XM_004600256.1	1080	821.621	382	40.1972
XM_004600257.1	3540	3281.62	754	19.8649
XM_004600258.1	1626	1367.62	98	6.19533
XM_004600259.1	894	636.563	203	27.5714
