target_id	length	eff_length	est_counts	tpm
NM_001280678.1	552	296.659	31574	6613.21
NM_001281925.1	634	367.721	384	64.8861
NM_001285876.1	834	553.535	98	11.0007
NM_001286187.1	1110	826.988	325.384	24.4476
NM_001290408.1	830	549.756	1	0.113024
NM_001291139.1	4671	4387.99	3.5	0.0495612
NM_001291140.1	4671	4387.99	3.5	0.0495612
NM_001291520.1	4282	3998.99	247.192	3.84081
NM_001293736.1	2063	1779.99	7	0.244355
NM_001301748.1	4136	3852.99	1134.81	18.3006
XM_004600094.1	3370	3086.99	2553.06	51.3885
XM_004600095.1	3286	3002.99	2617.94	54.1683
XM_004600096.1	1395	1111.99	144.631	8.08167
XM_004600097.1	1242	958.988	16.3689	1.06059
XM_004600098.1	4328	4044.99	0.0779494	0.00119739
XM_004600099.1	4314	4030.99	5.92205	0.0912852
XM_004600100.1	4040	3756.99	0	0
XM_004600101.1	1026	742.988	289	24.1688
XM_004600102.1	2487	2203.99	0	0
XM_004600103.1	2439	2155.99	6	0.17292
XM_004600104.1	2604	2320.99	376	10.0659
XM_004600105.1	1188	904.988	67	4.60014
XM_004600106.1	488	244.485	1041	264.569
XM_004600107.1	5374	5090.99	373	4.55246
XM_004600108.1	3753	3469.99	0	0
XM_004600109.1	4293	4009.99	92	1.42556
XM_004600110.1	1550	1266.99	158	7.74861
XM_004600111.1	485	242.003	59	15.1485
XM_004600112.1	1479	1195.99	94	4.8836
XM_004600113.1	4152	3868.99	62	0.995712
XM_004600114.1	3963	3679.99	0	0
XM_004600115.2	5115	4831.99	0	0
XM_004600116.1	858	577.082	561	60.4039
XM_004600117.1	3384	3100.99	131	2.62489
XM_004600118.1	2052	1768.99	19	0.667372
XM_004600119.1	3624	3340.99	481	8.9456
XM_004600120.1	3183	2899.99	0	0
XM_004600122.2	1092	808.988	66	5.06922
XM_004600123.1	4041	3757.99	726	12.0039
XM_004600124.1	1599	1315.99	7.79053	0.367836
XM_004600125.2	4680	4396.99	1704	24.0799
XM_004600126.1	2628	2344.99	0	0
XM_004600127.1	2544	2260.99	9	0.247334
XM_004600128.1	1680	1396.99	0	0
XM_004600129.1	2030	1746.99	212	7.54024
XM_004600130.2	9293	9009.99	0.00428109	2.95236e-05
XM_004600131.2	9225	8941.99	55.0714	0.382677
XM_004600133.1	3098	2814.99	36	0.794631
XM_004600134.1	1578	1294.99	953	45.7264
XM_004600135.1	1673	1389.99	135	6.03479
XM_004600136.1	737	461.833	428	57.5836
XM_004600137.1	1225	941.988	2777	183.177
XM_004600138.1	3510	3226.99	422	8.12558
XM_004600140.1	4321	4037.99	322	4.95485
XM_004600141.1	4199	3915.99	0	0
XM_004600142.2	2770	2486.99	80.8777	2.02067
XM_004600143.2	2647	2363.99	61.1223	1.60655
XM_004600144.1	357	146.148	0	0
XM_004600145.2	6774	6490.99	973.146	9.31551
XM_004600146.1	3612	3328.99	56.7111	1.05851
XM_004600147.1	2568	2284.99	25.0212	0.6804
XM_004600148.1	2509	2225.99	7.26764	0.202866
XM_004600149.1	3009	2725.99	204	4.64992
XM_004600150.1	8211	7927.99	0	0
XM_004600151.1	8208	7924.99	78.8891	0.618526
XM_004600152.1	8208	7924.99	0	0
XM_004600153.1	8199	7915.99	38.7017	0.303783
XM_004600154.1	8181	7897.99	575.409	4.52689
XM_004600156.1	1698	1414.99	0	0
XM_004600157.1	2782	2498.99	0	0
XM_004600158.1	2755	2471.99	0.00272728	6.85525e-05
XM_004600159.1	8561	8277.99	13.0274	0.0977854
XM_004600160.1	2533	2249.99	0	0
XM_004600161.1	2538	2254.99	0	0
XM_004600162.1	8339	8055.99	471.271	3.63489
XM_004600163.1	822	542.249	0	0
XM_004600164.1	2148	1864.99	0	0
XM_004600165.1	1309	1025.99	60	3.63369
XM_004600166.1	1593	1309.99	105.319	4.9955
XM_004600167.1	999	715.988	18.6809	1.62118
XM_004600168.1	5802	5518.99	1	0.0112585
XM_004600170.1	1008	724.988	14	1.19988
XM_004600171.1	5443	5159.99	3	0.0361254
XM_004600172.1	1084	800.988	181	14.0408
XM_004600173.1	5727	5443.99	466	5.31873
XM_004600174.1	826	545.976	3166	360.31
XM_004600175.1	825	544.976	17	1.93825
XM_004600176.1	2161	1877.99	0	0
XM_004600177.1	2110	1826.99	5	0.170049
XM_004600178.2	734	459.066	5	0.676759
XM_004600179.1	1898	1614.99	64	2.46235
XM_004600180.1	420	192.035	5	1.61781
XM_004600181.1	1119	835.988	0	0
XM_004600182.1	3813	3529.99	2.44676	0.0430682
XM_004600185.1	1803	1519.99	21	0.858457
XM_004600186.1	1888	1604.99	198	7.66537
XM_004600187.2	2134	1850.99	1	0.0335688
XM_004600188.1	3860	3576.99	303	5.26338
XM_004600189.1	387	168.026	1054.28	389.87
XM_004600190.1	342	136.262	15.1705	6.91777
XM_004600191.1	294	105.457	1.5498	0.913147
XM_004600192.1	708	434.788	2	0.285819
XM_004600193.1	756	479.686	953.999	123.575
XM_004600194.2	1567	1283.99	796	38.5205
XM_004600195.1	792	513.202	157	19.0086
XM_004600196.1	1259	975.988	706	44.9469
XM_004600197.1	873	591.787	0	0
XM_004600198.1	3438	3154.99	65.876	1.29738
XM_004600199.1	2097	1813.99	34.124	1.16887
XM_004600200.1	1525	1241.99	412	20.612
XM_004600201.1	444	209.479	139	41.2301
XM_004600202.1	2165	1881.99	323	10.6641
XM_004600203.1	231	68.0964	14	12.7745
XM_004600204.1	1936	1652.99	38	1.42841
XM_004600205.2	621	355.924	785.963	137.209
XM_004600206.2	867	586.024	461	48.8793
XM_004600207.1	567	309.271	0	0
XM_004600208.1	1164	880.988	68.5769	4.83668
XM_004600209.1	1045	761.988	73.4231	5.9872
XM_004600210.1	393	171.998	131	47.3247
XM_004600211.1	1206	922.988	12	0.807839
XM_004600212.1	1901	1617.99	16.2719	0.624889
XM_004600213.1	1756	1472.99	133.728	5.64109
XM_004600214.2	3318	3034.99	9119	186.694
XM_004600215.1	3276	2992.99	337	6.99624
XM_004600216.2	1289	1005.99	1366	84.3721
XM_004600217.2	1216	932.988	0	0
XM_004600218.1	1626	1342.99	133	6.15345
XM_004600219.2	4557	4273.99	577	8.38846
XM_004600220.1	1842	1558.99	146	5.81902
XM_004600221.2	1158	874.988	11.5273	0.818588
XM_004600222.2	1174	890.988	0	0
XM_004600223.1	1106	822.988	42.2205	3.18764
XM_004600224.2	1106	822.988	7.25222	0.547542
XM_004600225.1	8449	8165.99	1935	14.7235
XM_004600226.1	2796	2512.99	163	4.03029
XM_004600227.2	1180	896.988	253	17.5256
XM_004600228.1	420	192.035	3	0.970688
XM_004600229.1	3434	3150.99	290	5.71861
XM_004600230.2	582	321.567	1953.42	377.455
XM_004600231.1	942	659.606	0	0
XM_004600232.1	960	677.338	0	0
XM_004600233.1	3023	2739.99	12	0.272127
XM_004600234.2	1938	1654.99	0	0
XM_004600235.1	1207	923.988	17.2494	1.15997
XM_004600236.1	1171	887.988	2.72855	0.190926
XM_004600237.1	1153	869.988	5.48453	0.39171
XM_004600238.1	1117	833.988	630.538	46.9776
XM_004600239.1	1112	828.988	0	0
XM_004600240.1	961	678.338	0	0
XM_004600241.2	1536	1252.99	0	0
XM_004600242.1	1833	1549.99	1	0.0400877
