target_id	length	eff_length	est_counts	tpm
NM_001280678.1	552	306.055	124	38.505
NM_001281925.1	634	378.815	137	34.3707
NM_001285876.1	834	568.828	231	38.5945
NM_001286187.1	1110	842.178	682.131	76.9765
NM_001290408.1	830	564.828	102	17.1624
NM_001291139.1	4671	4403.18	165	3.56133
NM_001291140.1	4671	4403.18	165	3.56133
NM_001291520.1	4282	4014.18	109.417	2.59048
NM_001293736.1	2063	1795.18	389	20.5938
NM_001301748.1	4136	3868.18	1565.58	38.4649
XM_004600094.1	3370	3102.18	906.323	27.7658
XM_004600095.1	3286	3018.18	2597.68	81.7965
XM_004600096.1	1395	1127.18	144.715	12.2015
XM_004600097.1	1242	974.178	35.2851	3.44229
XM_004600098.1	4328	4060.18	1.3965	0.0326882
XM_004600099.1	4314	4046.18	38.6035	0.906726
XM_004600100.1	4040	3772.18	0	0
XM_004600101.1	1026	758.178	89	11.1561
XM_004600102.1	2487	2219.18	55.5796	2.38022
XM_004600103.1	2439	2171.18	345.42	15.1198
XM_004600104.1	2604	2336.18	796	32.3818
XM_004600105.1	1188	920.178	623	64.3443
XM_004600106.1	488	252.354	1075	404.849
XM_004600107.1	5374	5106.18	595	11.0743
XM_004600108.1	3753	3485.18	0	0
XM_004600109.1	4293	4025.18	799	18.865
XM_004600110.1	1550	1282.18	262	19.4199
XM_004600111.1	485	250.124	30	11.3988
XM_004600112.1	1479	1211.18	251	19.6952
XM_004600113.1	4152	3884.18	266	6.50844
XM_004600114.1	3963	3695.18	0	0
XM_004600115.2	5115	4847.18	0	0
XM_004600116.1	858	592.364	389	62.4102
XM_004600117.1	3384	3116.18	96	2.92781
XM_004600118.1	2052	1784.18	38	2.02414
XM_004600119.1	3624	3356.18	156	4.41747
XM_004600120.1	3183	2915.18	0	0
XM_004600122.2	1092	824.178	145	16.7202
XM_004600123.1	4041	3773.18	116	2.92176
XM_004600124.1	1599	1331.18	0	0
XM_004600125.2	4680	4412.18	1699	36.5961
XM_004600126.1	2628	2360.18	15.5195	0.624923
XM_004600127.1	2544	2276.18	238.481	9.95729
XM_004600128.1	1680	1412.18	0	0
XM_004600129.1	2030	1762.18	154	8.30549
XM_004600130.2	9293	9025.18	266.137	2.80249
XM_004600131.2	9225	8957.18	337.863	3.58479
XM_004600133.1	3098	2830.18	9	0.30222
XM_004600134.1	1578	1310.18	359	26.041
XM_004600135.1	1673	1405.18	161	10.889
XM_004600136.1	737	475.138	71	14.2014
XM_004600137.1	1225	957.178	184	18.2692
XM_004600138.1	3510	3242.18	503	14.7443
XM_004600140.1	4321	4053.18	130	3.04819
XM_004600141.1	4199	3931.18	0	0
XM_004600142.2	2770	2502.18	202.667	7.69767
XM_004600143.2	2647	2379.18	12.3329	0.492645
XM_004600144.1	357	151.366	0	0
XM_004600145.2	6774	6506.18	2014.83	29.4311
XM_004600146.1	3612	3344.18	173.315	4.92538
XM_004600147.1	2568	2300.18	52.9086	2.18605
XM_004600148.1	2509	2241.18	46.7768	1.98357
XM_004600149.1	3009	2741.18	273	9.46498
XM_004600150.1	8211	7943.18	1.3447e-05	1.60889e-07
XM_004600151.1	8208	7940.18	29.8367	0.357121
XM_004600152.1	8208	7940.18	261.817	3.13374
XM_004600153.1	8199	7931.18	460.593	5.51917
XM_004600154.1	8181	7913.18	375.753	4.5128
XM_004600156.1	1698	1430.18	0	0
XM_004600157.1	2782	2514.18	5.99941	0.226781
XM_004600158.1	2755	2487.18	0	0
XM_004600159.1	8561	8293.18	5.90926e-06	6.77184e-08
XM_004600160.1	2533	2265.18	7.68975	0.322629
XM_004600161.1	2538	2270.18	0	0
XM_004600162.1	8339	8071.18	1260.38	14.8409
XM_004600163.1	822	557.053	0	0
XM_004600164.1	2148	1880.18	1	0.050547
XM_004600165.1	1309	1041.18	296	27.0185
XM_004600166.1	1593	1325.18	441.763	31.6818
XM_004600167.1	999	731.178	592.237	76.978
XM_004600168.1	5802	5534.18	4	0.0686912
XM_004600170.1	1008	740.178	1503	192.982
XM_004600171.1	5443	5175.18	14	0.257097
XM_004600172.1	1084	816.178	496	57.7552
XM_004600173.1	5727	5459.18	117	2.03682
XM_004600174.1	826	560.941	5600	948.78
XM_004600175.1	825	559.941	34	5.77073
XM_004600176.1	2161	1893.18	143.291	7.1932
XM_004600177.1	2110	1842.18	22.709	1.17155
XM_004600178.2	734	472.282	0	0
XM_004600179.1	1898	1630.18	266	15.5075
XM_004600180.1	420	197.764	11	5.28616
XM_004600181.1	1119	851.178	0	0
XM_004600182.1	3813	3545.18	129.016	3.45858
XM_004600185.1	1803	1535.18	202	12.5051
XM_004600186.1	1888	1620.18	210	12.3183
XM_004600187.2	2134	1866.18	117	5.95836
XM_004600188.1	3860	3592.18	406	10.7414
XM_004600189.1	387	172.867	877.039	482.172
XM_004600190.1	342	140.891	36.9611	24.9319
XM_004600191.1	294	108.086	0	0
XM_004600192.1	708	447.207	32	6.80043
XM_004600193.1	756	493.602	547.618	105.437
XM_004600194.2	1567	1299.18	690	50.4748
XM_004600195.1	792	527.81	1	0.18006
XM_004600196.1	1259	991.178	907	86.9661
XM_004600197.1	873	607.124	0	0
XM_004600198.1	3438	3170.18	174	5.21627
XM_004600199.1	2097	1829.18	0	0
XM_004600200.1	1525	1257.18	728	55.0337
XM_004600201.1	444	216.823	148	64.871
XM_004600202.1	2165	1897.18	268	13.4252
XM_004600203.1	231	69.1579	717	985.307
XM_004600204.1	1936	1668.18	682	38.854
XM_004600205.2	621	367.156	2509.67	649.622
XM_004600206.2	867	601.185	1033	163.3
XM_004600207.1	567	319.38	0	0
XM_004600208.1	1164	896.178	76.5268	8.11546
XM_004600209.1	1045	777.178	77.4732	9.47382
XM_004600210.1	393	177.469	1	0.535516
XM_004600211.1	1206	938.178	1283	129.968
XM_004600212.1	1901	1633.18	204.864	11.9214
XM_004600213.1	1756	1488.18	776.136	49.5652
XM_004600214.2	3318	3050.18	4493	139.993
XM_004600215.1	3276	3008.18	268	8.46692
XM_004600216.2	1289	1021.18	622.972	57.9777
XM_004600217.2	1216	948.178	0	0
XM_004600218.1	1626	1358.18	215	15.0444
XM_004600219.2	4557	4289.18	3842	85.129
XM_004600220.1	1842	1574.18	692	41.7779
XM_004600221.2	1158	890.178	9.81768	1.04816
XM_004600222.2	1174	906.178	0	0
XM_004600223.1	1106	838.178	380.08	43.0956
XM_004600224.2	1106	838.178	54.1025	6.13444
XM_004600225.1	8449	8181.18	849	9.86248
XM_004600226.1	2796	2528.18	1258	47.2898
XM_004600227.2	1180	912.178	623	64.9087
