target_id	length	eff_length	est_counts	tpm
NM_001280678.1	552	317.858	92	25.844
NM_001281925.1	634	393.722	123	27.8946
NM_001285876.1	834	586.597	250	38.0545
NM_001286187.1	1110	862.043	583.5	60.439
NM_001290408.1	830	582.714	80	12.2586
NM_001291139.1	4671	4423.04	110.5	2.23073
NM_001291140.1	4671	4423.04	110.5	2.23073
NM_001291520.1	4282	4034.04	324.435	7.18113
NM_001293736.1	2063	1815.04	370.396	18.2215
NM_001301748.1	4136	3888.04	1727.56	39.6742
XM_004600094.1	3370	3122.04	1011.85	28.939
XM_004600095.1	3286	3038.04	2103.15	61.8132
XM_004600096.1	1395	1147.04	183.564	14.2894
XM_004600097.1	1242	994.043	23.4358	2.10514
XM_004600098.1	4328	4080.04	28.3336	0.620072
XM_004600099.1	4314	4066.04	0	0
XM_004600100.1	4040	3792.04	5.66642	0.133426
XM_004600101.1	1026	778.043	68	7.80388
XM_004600102.1	2487	2239.04	82.4907	3.28964
XM_004600103.1	2439	2191.04	482.509	19.6635
XM_004600104.1	2604	2356.04	656	24.8614
XM_004600105.1	1188	940.043	529	50.2474
XM_004600106.1	488	262.671	965	328.035
XM_004600107.1	5374	5126.04	589	10.2598
XM_004600108.1	3753	3505.04	0	0
XM_004600109.1	4293	4045.04	634	13.995
XM_004600110.1	1550	1302.04	288	19.7502
XM_004600111.1	485	260.033	47	16.1389
XM_004600112.1	1479	1231.04	237	17.1902
XM_004600113.1	4152	3904.04	139	3.17911
XM_004600114.1	3963	3715.04	0	0
XM_004600115.2	5115	4867.04	0	0
XM_004600116.1	858	610.296	475	69.4957
XM_004600117.1	3384	3136.04	124	3.53057
XM_004600118.1	2052	1804.04	30	1.48484
XM_004600119.1	3624	3376.04	221	5.84507
XM_004600120.1	3183	2935.04	0	0
XM_004600122.2	1092	844.043	193	20.4173
XM_004600123.1	4041	3793.04	225	5.29663
XM_004600124.1	1599	1351.04	0	0
XM_004600125.2	4680	4432.04	1415	28.5074
XM_004600126.1	2628	2380.04	20.6603	0.775097
XM_004600127.1	2544	2296.04	152.34	5.92432
XM_004600128.1	1680	1432.04	0	0
XM_004600129.1	2030	1782.04	161	8.06702
XM_004600130.2	9293	9045.04	0.198539	0.00195993
XM_004600131.2	9225	8977.04	1147.84	11.417
XM_004600133.1	3098	2850.04	23	0.720579
XM_004600134.1	1578	1330.04	300	20.1401
XM_004600135.1	1673	1425.04	148	9.2734
XM_004600136.1	737	491.273	81	14.722
XM_004600137.1	1225	977.043	156	14.2566
XM_004600138.1	3510	3262.04	368	10.0731
XM_004600140.1	4321	4073.04	127	2.78413
XM_004600141.1	4199	3951.04	0	0
XM_004600142.2	2770	2522.04	184.356	6.52694
XM_004600143.2	2647	2399.04	19.6442	0.731143
XM_004600144.1	357	157.215	0	0
XM_004600145.2	6774	6526.04	2321.26	31.7599
XM_004600146.1	3612	3364.04	119.25	3.16521
XM_004600147.1	2568	2320.04	29.8578	1.14913
XM_004600148.1	2509	2261.04	120.892	4.77413
XM_004600149.1	3009	2761.04	239	7.72912
XM_004600150.1	8211	7963.04	0.473015	0.00530397
XM_004600151.1	8208	7960.04	157.08	1.76202
XM_004600152.1	8208	7960.04	256.582	2.87817
XM_004600153.1	8199	7951.04	369.349	4.1478
XM_004600154.1	8181	7933.04	718.516	8.08727
XM_004600156.1	1698	1450.04	0	0
XM_004600157.1	2782	2534.04	6.45349	0.227398
XM_004600158.1	2755	2507.04	0	0
XM_004600159.1	8561	8313.04	21.9214	0.235458
XM_004600160.1	2533	2285.04	24.2215	0.94648
XM_004600161.1	2538	2290.04	0	0
XM_004600162.1	8339	8091.04	1842.16	20.3296
XM_004600163.1	822	574.887	0	0
XM_004600164.1	2148	1900.04	0	0
XM_004600165.1	1309	1061.04	218	18.3455
XM_004600166.1	1593	1345.04	376.161	24.9714
XM_004600167.1	999	751.043	421.839	50.1519
XM_004600168.1	5802	5554.04	2	0.0321533
XM_004600170.1	1008	760.043	986	115.836
XM_004600171.1	5443	5195.04	12	0.206252
XM_004600172.1	1084	836.043	484	51.6919
XM_004600173.1	5727	5479.04	145	2.36303
XM_004600174.1	826	578.772	5254	810.565
XM_004600175.1	825	577.772	22	3.39994
XM_004600176.1	2161	1913.04	92.3588	4.31081
XM_004600177.1	2110	1862.04	101.641	4.874
XM_004600178.2	734	488.371	1	0.182833
XM_004600179.1	1898	1650.04	315	17.0459
XM_004600180.1	420	205.434	33	14.3432
XM_004600181.1	1119	871.043	0	0
XM_004600182.1	3813	3565.04	169.206	4.23796
XM_004600185.1	1803	1555.04	147	8.44074
XM_004600186.1	1888	1640.04	215	11.7055
XM_004600187.2	2134	1886.04	161	7.62219
XM_004600188.1	3860	3612.04	348	8.60264
XM_004600189.1	387	179.828	736.189	365.541
XM_004600190.1	342	145.504	21.8114	13.3849
XM_004600191.1	294	112.477	0	0
XM_004600192.1	708	463.75	17	3.27318
XM_004600193.1	756	509.87	429.118	75.1487
XM_004600194.2	1567	1319.04	532	36.0129
XM_004600195.1	792	545.448	3	0.491103
XM_004600196.1	1259	1011.04	745	65.7949
XM_004600197.1	873	625.235	0	0
XM_004600198.1	3438	3190.04	246	6.88563
XM_004600199.1	2097	1849.04	0	0
XM_004600200.1	1525	1277.04	648	45.308
XM_004600201.1	444	225.145	187	74.1624
XM_004600202.1	2165	1917.04	452	21.0529
XM_004600203.1	231	70.7673	755	952.619
XM_004600204.1	1936	1688.04	765	40.4653
XM_004600205.2	621	381.432	2570.11	601.645
XM_004600206.2	867	619.235	1173	169.141
XM_004600207.1	567	332.024	0	0
XM_004600208.1	1164	916.043	27.3071	2.66174
XM_004600209.1	1045	797.043	28.6929	3.21439
XM_004600210.1	393	184.463	8	3.87246
XM_004600211.1	1206	958.043	1541	143.623
XM_004600212.1	1901	1653.04	734.47	39.673
XM_004600213.1	1756	1508.04	1430.53	84.701
XM_004600214.2	3318	3070.04	4288	124.714
XM_004600215.1	3276	3028.04	285	8.40404
XM_004600216.2	1289	1041.04	684.377	58.6992
XM_004600217.2	1216	968.043	5.45138	0.502825
XM_004600218.1	1626	1378.04	303	19.6329
XM_004600219.2	4557	4309.04	4468	92.5844
XM_004600220.1	1842	1594.04	1055	59.096
XM_004600221.2	1158	910.043	21.3578	2.09556
