target_id	length	eff_length	est_counts	tpm
NM_001280678.1	552	307.482	89	20.1848
NM_001281925.1	634	380.724	235	43.0439
NM_001285876.1	834	571.223	242	29.5436
NM_001286187.1	1110	845.699	825.05	68.0328
NM_001290408.1	830	567.394	94	11.5531
NM_001291139.1	4671	4406.7	489.5	7.74628
NM_001291140.1	4671	4406.7	489.5	7.74628
NM_001291520.1	4282	4017.7	130.349	2.26249
NM_001293736.1	2063	1798.7	584.469	22.6598
NM_001301748.1	4136	3871.7	1944.65	35.0263
XM_004600094.1	3370	3105.7	1207.15	27.1053
XM_004600095.1	3286	3021.7	2289.85	52.8458
XM_004600096.1	1395	1130.7	240.574	14.8373
XM_004600097.1	1242	977.699	18.4262	1.31427
XM_004600098.1	4328	4063.7	7.49151	0.128559
XM_004600099.1	4314	4049.7	20.6573	0.355717
XM_004600100.1	4040	3775.7	11.8512	0.218887
XM_004600101.1	1026	761.699	118	10.8032
XM_004600102.1	2487	2222.7	104.626	3.28258
XM_004600103.1	2439	2174.7	1107.37	35.5099
XM_004600104.1	2604	2339.7	1010	30.1034
XM_004600105.1	1188	923.699	695	52.4697
XM_004600106.1	488	253.068	1365	376.141
XM_004600107.1	5374	5109.7	897	12.242
XM_004600108.1	3753	3488.7	0	0
XM_004600109.1	4293	4028.7	2103	36.4023
XM_004600110.1	1550	1285.7	499	27.0655
XM_004600111.1	485	250.616	74	20.591
XM_004600112.1	1479	1214.7	342	19.6341
XM_004600113.1	4152	3887.7	240	4.305
XM_004600114.1	3963	3698.7	0	0
XM_004600115.2	5115	4850.7	0	0
XM_004600116.1	858	594.699	819	96.0374
XM_004600117.1	3384	3119.7	199	4.4483
XM_004600118.1	2052	1787.7	36	1.40431
XM_004600119.1	3624	3359.7	447.544	9.28943
XM_004600120.1	3183	2918.7	5.45646	0.130369
XM_004600122.2	1092	827.699	280	23.5906
XM_004600123.1	4041	3776.7	158	2.91742
XM_004600124.1	1599	1334.7	0	0
XM_004600125.2	4680	4415.7	3042	48.0412
XM_004600126.1	2628	2363.7	56.1306	1.656
XM_004600127.1	2544	2279.7	531.869	16.2698
XM_004600128.1	1680	1415.7	0	0
XM_004600129.1	2030	1765.7	267	10.5451
XM_004600130.2	9293	9028.7	798.485	6.16731
XM_004600131.2	9225	8960.7	61.5884	0.479304
XM_004600133.1	3098	2833.7	21	0.516797
XM_004600134.1	1578	1313.7	277	14.7041
XM_004600135.1	1673	1408.7	189	9.35616
XM_004600136.1	737	477.344	118	17.2387
XM_004600137.1	1225	960.699	207	15.0258
XM_004600138.1	3510	3245.7	536	11.5162
XM_004600140.1	4321	4056.7	217	3.73028
XM_004600141.1	4199	3934.7	0	0
XM_004600142.2	2770	2505.7	635	17.6725
XM_004600143.2	2647	2382.7	0	0
XM_004600144.1	357	152.062	1	0.458599
XM_004600145.2	6774	6509.7	2850.4	30.5351
XM_004600146.1	3612	3347.7	213.551	4.44847
XM_004600147.1	2568	2303.7	132.181	4.00126
XM_004600148.1	2509	2244.7	137.268	4.26447
XM_004600149.1	3009	2744.7	416	10.5695
XM_004600150.1	8211	7946.7	322.779	2.83252
XM_004600151.1	8208	7943.7	229.935	2.01853
XM_004600152.1	8208	7943.7	770.045	6.76001
XM_004600153.1	8199	7934.7	308.547	2.71172
XM_004600154.1	8181	7916.7	466.694	4.11095
XM_004600156.1	1698	1433.7	0	0
XM_004600157.1	2782	2517.7	0.000142275	3.94076e-06
XM_004600158.1	2755	2490.7	6.01866	0.168513
XM_004600159.1	8561	8296.7	21.0691	0.17709
XM_004600160.1	2533	2268.7	11.8273	0.363549
XM_004600161.1	2538	2273.7	0	0
XM_004600162.1	8339	8074.7	893.085	7.71295
XM_004600163.1	822	559.564	0	0
XM_004600164.1	2148	1883.7	5	0.185103
XM_004600165.1	1309	1044.7	347	23.1629
XM_004600166.1	1593	1328.7	616.313	32.3466
XM_004600167.1	999	734.699	836.687	79.416
XM_004600168.1	5802	5537.7	7	0.0881501
XM_004600170.1	1008	743.699	1592	149.279
XM_004600171.1	5443	5178.7	105	1.41391
XM_004600172.1	1084	819.699	721	61.3388
XM_004600173.1	5727	5462.7	267	3.40846
XM_004600174.1	826	563.507	7502	928.392
XM_004600175.1	825	562.507	43	5.33082
XM_004600176.1	2161	1896.7	413.13	15.1895
XM_004600177.1	2110	1845.7	245.87	9.28963
XM_004600178.2	734	474.392	3	0.441
XM_004600179.1	1898	1633.7	746	31.8435
XM_004600180.1	420	198.494	81	28.4572
XM_004600181.1	1119	854.699	0	0
XM_004600182.1	3813	3548.7	671.516	13.196
XM_004600185.1	1803	1538.7	280	12.6899
XM_004600186.1	1888	1623.7	356	15.2897
XM_004600187.2	2134	1869.7	185	6.90008
XM_004600188.1	3860	3595.7	545	10.5698
XM_004600189.1	387	173.633	995.336	399.752
XM_004600190.1	342	140.96	29.8928	14.7885
XM_004600191.1	294	107.401	1.7716	1.1503
XM_004600192.1	708	449.736	141	21.8633
XM_004600193.1	756	495.805	566.314	79.6526
XM_004600194.2	1567	1302.7	855	45.7695
XM_004600195.1	792	530.819	4	0.525494
XM_004600196.1	1259	994.699	1034	72.4908
XM_004600197.1	873	609.28	0	0
XM_004600198.1	3438	3173.7	328	7.20713
XM_004600199.1	2097	1832.7	0	0
XM_004600200.1	1525	1260.7	1000	55.315
XM_004600201.1	444	217.228	180	57.7845
XM_004600202.1	2165	1900.7	429	15.7398
XM_004600203.1	231	67.542	766	790.877
XM_004600204.1	1936	1671.7	856	35.7084
XM_004600205.2	621	368.682	3302.74	624.708
XM_004600206.2	867	603.34	876	101.25
XM_004600207.1	567	320.928	0	0
XM_004600208.1	1164	899.699	47.1005	3.65075
XM_004600209.1	1045	780.699	29.8995	2.67076
XM_004600210.1	393	178.176	12	4.69664
XM_004600211.1	1206	941.699	1941	143.737
XM_004600212.1	1901	1636.7	771.884	32.888
XM_004600213.1	1756	1491.7	1019.12	47.6427
XM_004600214.2	3318	3053.7	5305	121.147
XM_004600215.1	3276	3011.7	288	6.66861
XM_004600216.2	1289	1024.7	784.046	53.358
XM_004600217.2	1216	951.699	2.11935e-07	1.55295e-08
XM_004600218.1	1626	1361.7	286	14.6467
XM_004600219.2	4557	4292.7	5515	89.592
XM_004600220.1	1842	1577.7	836	36.9519
XM_004600221.2	1158	893.699	52.3022	4.08115
XM_004600222.2	1174	909.699	0	0
XM_004600223.1	1106	841.699	192.372	15.9382
XM_004600224.2	1106	841.699	105.326	8.72633
XM_004600225.1	8449	8184.7	1505	12.8229
XM_004600226.1	2796	2531.7	1279	35.23
XM_004600227.2	1180	915.699	704	53.6135
XM_004600228.1	420	198.494	23	8.08044
XM_004600229.1	3434	3169.7	629	13.8384
XM_004600230.2	582	333.683	474	99.0599
XM_004600231.1	942	677.771	0	0
XM_004600232.1	960	695.771	0	0
